,A,B,C
0,-0.20470765948471295,3.0143787151660097,-0.35843363214601776
1,0.47894333805754824,-1.592442218224527,0.03810649005103758
2,-0.5194387150567381,1.5499832668642481,-2.2498157052352994
3,-0.55573030434749,1.4578257578706317,1.9042978892454878
4,1.9657805725027142,3.7058336703308994,-1.8727791437143495
5,1.3934058329729904,2.7728586811831777,-0.8259221022218245
6,0.09290787674371767,-3.003274619320795,0.6531695588738471
7,0.2817461528302025,0.2563149257194912,-1.2698168952679547
8,0.7690225676118387,4.338050619049741,-1.0637474407485727
9,1.2464347363862822,0.12286052832885619,-0.8999083764195344
