x y R c
178.13936 88.39875 1.2571379999999999 3.812697892783055
183.63594 88.89573 1.2025190000000001 7.709740084885944
173.97438 84.39783 1.17404 5.779746960074829
103.43916 97.41998 1.035196 3.663710299624143
35.27691 103.48653 0.927961 5.058910434986453
177.49419 191.20029 0.887141 5.151566710025086
23.31007 73.65483 0.8687 4.708758388170376
71.69225 182.21155 0.838737 7.461077258372992
106.9668 57.5778 0.812286 10.06525241010136
62.31445 188.57175 0.792177 2.0792483831681507
101.31577 128.32755 0.790147 4.581332513871898
3.56543 190.06995 0.73599 13.470295398806693
118.56961 1.4497 0.716041 5.37173100871731
42.15026 84.84922 0.671394 5.257752787871195
190.06425 82.97182 0.6593880000000001 10.3879891612578
72.74201 137.56998 0.6402329999999999 3.2019174506008907
178.95381 147.68439 0.63882 1.999630637088419
157.98547 159.24753 0.632818 5.353201424547216
116.30353 1.34423 0.631371 9.293751379995586
104.42473 52.66172 0.6290439999999999 9.167866616142478
192.1524 108.93323 0.6213569999999999 8.020096805421105
51.9946 44.70433 0.61039 10.02990617348867
173.13918 35.14696 0.588191 6.260148151301646
175.09389 66.64496 0.5824579999999999 10.543180378314778
174.25917 84.34928 0.575215 13.327193531197146
30.01666 27.8313 0.565265 9.464937543953653
114.00745 182.44417 0.561625 6.619423654900112
39.88202 196.00896 0.5560750000000001 8.408180237393212
32.95197 63.7096 0.548498 9.89336411680886
179.25664 149.7238 0.5414950000000001 6.047723287579436
92.62965 180.79961 0.5343060000000001 8.853308147338073
125.01373 172.99576 0.5265019999999999 14.364107600807548
23.85073 111.39735 0.5227229999999999 4.5124178831329145
62.95 188.43155 0.511929 10.550451341659453
157.15843 159.39098 0.508824 6.446522234891676
8.18483 191.78259 0.496944 13.592188397472716
116.39272 178.97301 0.48982299999999995 12.963081564600644
36.85793 117.18737 0.489341 5.522038909452018
50.43662 193.76608 0.471312 13.799209486166008
7.29826 104.83519 0.46817000000000003 7.110722964763061
144.82463 5.78544 0.46175599999999994 6.699786712322803
59.53558 103.51012 0.45627100000000004 6.227000395780165
106.44322 55.68649 0.4546 16.119424154315297
181.9025 88.31827 0.452916 16.80828323313293
101.31447 135.00603 0.452352 8.148724600086467
36.3742 147.40529 0.448938 7.90926868800761
180.04034 163.72952 0.448938 2.644576396988654
6.85608 66.16135 0.440167 8.34297465835213
127.22236 87.51038 0.43837099999999996 15.071546448463177
168.96609 142.80939 0.43412 2.4857566578677646
188.13416 154.22192 0.43412 10.045121132887521
180.48784 164.21117 0.431654 7.3903232433913155
17.17102 59.8479 0.4279 10.95914969906518
86.43784 157.9303 0.42536 6.01862070917169
30.40295 100.55143 0.423436 9.824501160092806
177.88765 54.55011 0.421493 4.870217805765786
179.80536 1.31603 0.420842 6.377070295334353
42.90806 141.94102 0.419533 2.167333949816863
99.06463 121.67251 0.419533 9.067062891722497
190.43405 120.85172 0.418875 2.4088504226810055
180.84607 163.54689 0.417554 16.146088704999805
180.00272 168.79636 0.417554 8.710474164006925
183.34901 88.20749 0.41488600000000003 18.46564002136372
120.05074 0.21756 0.41081799999999996 10.018240788158119
172.62338 1.21791 0.408753 6.311812847436689
46.34692 43.9534 0.40666800000000003 13.472965809700504
195.1694 92.43979 0.40666800000000003 10.491950464396288
176.98343 70.50266 0.405968 9.00989835323361
103.31838 36.34789 0.405266 4.954473214504022
51.58766 28.8249 0.403854 11.313387679636943
172.30533 1.79701 0.402432 12.050305425799497
23.6082 146.97858 0.401717 9.201873740150265
114.25202 55.18559 0.40099900000000005 12.004520416716561
171.40598 1.9869 0.398832 9.512760578161522
38.84127 190.09978 0.39810399999999996 6.81195030970877
179.52425 163.90903 0.394424 15.797180390900351
180.37663 163.6972 0.39368000000000003 12.586884931419254
192.37927 164.90154 0.386078 14.872606803035556
179.05383 166.04149 0.385301 15.407725836765705
62.59751 164.05107 0.383738 3.244099147842554
100.2665 34.39008 0.380573 1.9758530101966647
187.23323 145.58315 0.380573 6.954534656360215
192.05098 151.42207 0.376542 3.249889956241423
34.8305 102.4464 0.37572500000000003 1.907117332954338
